id_igre,ime,konzola,konzola_kratica,ocena,tezavnost,dolzina,povezava
197771,The Legend of Zelda: Ocarina of Time,n64,N64,4.60,3.09,42.73,/n64/197771-the-legend-of-zelda-ocarina-of-time
641695,Persona 4 Golden,vita,VITA,4.59,3.06,78.63,/vita/641695-persona-4-golden
950181,Chrono Trigger,ds,DS,4.58,2.97,44.29,/ds/950181-chrono-trigger
196885,Castlevania: Symphony of the Night,ps,PS,4.58,3.03,33.34,/ps/196885-castlevania-symphony-of-the-night
563538,Chrono Trigger,snes,SNES,4.57,2.95,46.66,/snes/563538-chrono-trigger
928437,Metal Gear Solid 3: Subsistence,ps2,PS2,4.57,3.17,29.87,/ps2/928437-metal-gear-solid-3-subsistence
762804,Monster Hunter 4 Ultimate,3ds,3DS,4.57,4.30,80.00+,/3ds/762804-monster-hunter-4-ultimate
588436,The Legend of Zelda: A Link to the Past,snes,SNES,4.57,3.15,30.55,/snes/588436-the-legend-of-zelda-a-link-to-the-past
632936,The Legend of Zelda: Breath of the Wild,wii-u,WIIU,4.57,3.26,80.00+,/wii-u/632936-the-legend-of-zelda-breath-of-the-wild
189707,The Legend of Zelda: Breath of the Wild,switch,NS,4.56,3.45,80.00+,/switch/189707-the-legend-of-zelda-breath-of-the-wild
919239,The Legend of Zelda Collector's Edition,gamecube,GC,4.56,3.25,63.88,/gamecube/919239-the-legend-of-zelda-collectors-edition
960329,Metroid Prime Trilogy,wii,WII,4.56,3.24,57.81,/wii/960329-metroid-prime-trilogy
926596,Metal Gear Solid 4: Guns of the Patriots,ps3,PS3,4.55,3.22,30.74,/ps3/926596-metal-gear-solid-4-guns-of-the-patriots
632694,Metal Gear Solid HD Collection,ps3,PS3,4.55,3.32,58.92,/ps3/632694-metal-gear-solid-hd-collection
960564,Xenoblade Chronicles,wii,WII,4.55,3.15,80.00+,/wii/960564-xenoblade-chronicles
554041,Final Fantasy III,snes,SNES,4.54,3.04,54.89,/snes/554041-final-fantasy-iii
535840,Resident Evil 4,gamecube,GC,4.54,3.24,29.41,/gamecube/535840-resident-evil-4
835628,Persona 5,ps4,PS4,4.54,3.06,80.00+,/ps4/835628-persona-5
564226,The Legend of Zelda: Ocarina of Time / Master Quest,gamecube,GC,4.54,3.29,42.07,/gamecube/564226-the-legend-of-zelda-ocarina-of-time-master-quest
997842,The Legend of Zelda: Ocarina of Time 3D,3ds,3DS,4.54,3.08,35.78,/3ds/997842-the-legend-of-zelda-ocarina-of-time-3d
197909,Metal Gear Solid,ps,PS,4.54,3.28,22.02,/ps/197909-metal-gear-solid
519824,Super Mario World,snes,SNES,4.54,3.06,25.88,/snes/519824-super-mario-world
914828,Metal Gear Solid 3: Snake Eater,ps2,PS2,4.54,3.27,29.48,/ps2/914828-metal-gear-solid-3-snake-eater
945498,Shin Megami Tensei: Persona 4,ps2,PS2,4.54,3.26,75.90,/ps2/945498-shin-megami-tensei-persona-4
525245,Super Mario Bros. 3,nes,NES,4.54,3.26,18.41,/nes/525245-super-mario-bros-3
198844,Suikoden II,ps,PS,4.54,2.95,56.13,/ps/198844-suikoden-ii
920979,Super Mario All-Stars / Super Mario World,snes,SNES,4.53,3.15,42.32,/snes/920979-super-mario-all-stars-super-mario-world
699808,The Witcher 3: Wild Hunt,pc,PC,4.53,3.09,80.00+,/pc/699808-the-witcher-3-wild-hunt
735143,Kingdom Hearts HD 2.5 ReMIX,ps3,PS3,4.53,3.17,80.00+,/ps3/735143-kingdom-hearts-hd-25-remix
914622,Mother 3,gba,GBA,4.52,3.13,32.90,/gba/914622-mother-3
654725,Metal Gear Solid 3: Snake Eater HD Edition,ps3,PS3,4.52,3.17,26.51,/ps3/654725-metal-gear-solid-3-snake-eater-hd-edition
458064,Shenmue II,dreamcast,DC,4.52,3.00,50.00,/dreamcast/458064-shenmue-ii
935702,Kingdom Hearts II: Final Mix +,ps2,PS2,4.52,3.31,61.96,/ps2/935702-kingdom-hearts-ii-final-mix-plus
643146,Final Fantasy X / X-2 HD Remaster,ps3,PS3,4.51,3.05,80.00+,/ps3/643146-final-fantasy-x-x-2-hd-remaster
712099,Metal Gear Solid: The Legacy Collection,ps3,PS3,4.51,3.26,74.30,/ps3/712099-metal-gear-solid-the-legacy-collection
200275,Super Mario Odyssey,switch,NS,4.51,2.85,45.52,/switch/200275-super-mario-odyssey
944753,Metal Gear Solid: The Essential Collection,ps2,PS2,4.50,3.22,58.22,/ps2/944753-metal-gear-solid-the-essential-collection
924364,Shadow of the Colossus,ps2,PS2,4.50,3.27,22.59,/ps2/924364-shadow-of-the-colossus
997811,Animal Crossing: New Leaf,3ds,3DS,4.49,2.53,80.00+,/3ds/997811-animal-crossing-new-leaf
516492,Super Smash Bros. Melee,gamecube,GC,4.49,3.20,59.86,/gamecube/516492-super-smash-bros-melee
197341,Final Fantasy VII,ps,PS,4.49,3.02,68.37,/ps/197341-final-fantasy-vii
938877,Resident Evil 4: Wii Edition,wii,WII,4.48,3.28,28.87,/wii/938877-resident-evil-4-wii-edition
935689,The World Ends with You,ds,DS,4.48,3.33,44.63,/ds/935689-the-world-ends-with-you
939065,Phoenix Wright: Ace Attorney - Trials and Tribulations,ds,DS,4.48,3.10,21.97,/ds/939065-phoenix-wright-ace-attorney-trials-and-tribulations
606312,Dark Souls,ps3,PS3,4.47,4.18,70.41,/ps3/606312-dark-souls
588741,Super Metroid,snes,SNES,4.47,3.31,17.83,/snes/588741-super-metroid
944907,Mass Effect 2,xbox360,X360,4.47,3.10,47.09,/xbox360/944907-mass-effect-2
961351,"Nine Hours, Nine Persons, Nine Doors",ds,DS,4.47,3.05,23.62,/ds/961351-nine-hours-nine-persons-nine-doors
587964,Lunar: Eternal Blue,segacd,SCD,4.47,3.40,51.96,/segacd/587964-lunar-eternal-blue
272738,Xenoblade Chronicles: Definitive Edition,switch,NS,4.47,3.01,80.00+,/switch/272738-xenoblade-chronicles-definitive-edition
701110,The Legend of Zelda: The Wind Waker HD,wii-u,WIIU,4.46,2.92,41.16,/wii-u/701110-the-legend-of-zelda-the-wind-waker-hd
635388,Rune Factory 4,3ds,3DS,4.46,3.04,78.39,/3ds/635388-rune-factory-4
561316,Tales of Symphonia,gamecube,GC,4.46,3.09,69.78,/gamecube/561316-tales-of-symphonia
197237,Skies of Arcadia,dreamcast,DC,4.46,3.04,57.29,/dreamcast/197237-skies-of-arcadia
198258,Panzer Dragoon Saga,saturn,SAT,4.46,2.90,30.11,/saturn/198258-panzer-dragoon-saga
234547,Super Smash Bros. Ultimate,switch,NS,4.46,3.32,73.31,/switch/234547-super-smash-bros-ultimate
877120,The Legend of Zelda: Majora's Mask 3D,3ds,3DS,4.46,3.25,38.16,/3ds/877120-the-legend-of-zelda-majoras-mask-3d
258273,Baldur's Gate II: Shadows of Amn,pc,PC,4.46,3.42,75.58,/pc/258273-baldurs-gate-ii-shadows-of-amn
643003,Fire Emblem: Awakening,3ds,3DS,4.46,3.25,58.19,/3ds/643003-fire-emblem-awakening
920500,Okami,ps2,PS2,4.46,2.87,47.22,/ps2/920500-okami
702760,The Witcher 3: Wild Hunt,ps4,PS4,4.46,3.37,80.00+,/ps4/702760-the-witcher-3-wild-hunt
943356,Monster Hunter Freedom Unite,psp,PSP,4.45,4.03,80.00+,/psp/943356-monster-hunter-freedom-unite
955125,Uncharted 2: Among Thieves,ps3,PS3,4.45,3.10,20.79,/ps3/955125-uncharted-2-among-thieves
652686,The Last of Us,ps3,PS3,4.45,3.29,23.91,/ps3/652686-the-last-of-us
942695,Cave Story,pc,PC,4.45,3.70,14.91,/pc/942695-cave-story
588739,Super Mario RPG: Legend of the Seven Stars,snes,SNES,4.45,2.89,34.48,/snes/588739-super-mario-rpg-legend-of-the-seven-stars
189709,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,switch,NS,4.45,2.93,80.00+,/switch/189709-dragon-quest-xi-s-echoes-of-an-elusive-age-definitive
641334,Zero Escape: Virtue's Last Reward,3ds,3DS,4.45,3.27,39.11,/3ds/641334-zero-escape-virtues-last-reward
195484,Animal Crossing: New Leaf - Welcome Amiibo,3ds,3DS,4.45,2.59,80.00+,/3ds/195484-animal-crossing-new-leaf-welcome-amiibo
960551,Super Mario Galaxy 2,wii,WII,4.45,3.14,36.61,/wii/960551-super-mario-galaxy-2
920182,Paper Mario: The Thousand-Year Door,gamecube,GC,4.45,3.01,44.99,/gamecube/920182-paper-mario-the-thousand-year-door
683293,Bayonetta 2,wii-u,WIIU,4.45,3.64,31.43,/wii-u/683293-bayonetta-2
937269,Shin Megami Tensei: Persona 3 FES,ps2,PS2,4.44,3.58,78.94,/ps2/937269-shin-megami-tensei-persona-3-fes
937723,Castlevania: Symphony of the Night,xbox360,X360,4.44,3.18,28.98,/xbox360/937723-castlevania-symphony-of-the-night
805577,Bloodborne,ps4,PS4,4.44,4.12,62.93,/ps4/805577-bloodborne
198705,SoulCalibur,dreamcast,DC,4.44,3.07,27.94,/dreamcast/198705-soulcalibur
959194,Tales of Vesperia,ps3,PS3,4.44,3.09,78.66,/ps3/959194-tales-of-vesperia
437029,Silent Hill 2,ps2,PS2,4.43,3.16,17.84,/ps2/437029-silent-hill-2
