id_konzole,datum_konzole
61,1993-10-04
116,2011-02-26
48,1987-06
106,2008-09-23
2,1978-01-01
6,1977-09-11
60,1991-12-03
24,1990-12
67,1998-11-27
108,2004-11-21
47,1986-02-21
59,1989-04-21
91,2001-03-21
57,1998-10-21
99,2001-11-05
62,1990-10-06
54,1988-10-29
112,2007-06-29
27,1984-01-24
40,1983
64,1990-01-31
89,1999-03-16
41,1983-07-15
84,1996-06-23
124,2017-03-03
69,2000-01-01
19,1970-01-01
78,1994-12-03
94,2000-03-04
113,2006-11-11
120,2013-11-15
128,2020-11-12
117,2011-12-17
109,2004-12-12
76,1994-11-22
74,1994-11-21
65,1991-12-12
49,1985-10-20
63,1990-11-21
56,1988-12-04
53,1987-10-30
83,1995-07-21
114,2006-11-19
118,2012-11-18
98,2013-11-22
111,2005-11-22
121,2013-11-22
