id_igre,ime,konzola,ocena,tezavnost,dolzina,povezava
197771,The Legend of Zelda: Ocarina of Time,84,4.59,3.09,42.69,/n64/197771-the-legend-of-zelda-ocarina-of-time
641695,Persona 4 Golden,117,4.59,3.06,78.65,/vita/641695-persona-4-golden
950181,Chrono Trigger,108,4.58,2.97,44.30,/ds/950181-chrono-trigger
196885,Castlevania: Symphony of the Night,78,4.58,3.03,33.25,/ps/196885-castlevania-symphony-of-the-night
563538,Chrono Trigger,63,4.57,2.95,46.59,/snes/563538-chrono-trigger
928437,Metal Gear Solid 3: Subsistence,94,4.57,3.17,29.87,/ps2/928437-metal-gear-solid-3-subsistence
762804,Monster Hunter 4 Ultimate,116,4.57,4.30,80.00+,/3ds/762804-monster-hunter-4-ultimate
189707,The Legend of Zelda: Breath of the Wild,124,4.56,3.44,80.00+,/switch/189707-the-legend-of-zelda-breath-of-the-wild
588436,The Legend of Zelda: A Link to the Past,63,4.56,3.15,30.53,/snes/588436-the-legend-of-zelda-a-link-to-the-past
632936,The Legend of Zelda: Breath of the Wild,118,4.56,3.26,80.00+,/wii-u/632936-the-legend-of-zelda-breath-of-the-wild
960329,Metroid Prime Trilogy,114,4.56,3.24,57.87,/wii/960329-metroid-prime-trilogy
919239,The Legend of Zelda Collector's Edition,99,4.56,3.26,64.05,/gamecube/919239-the-legend-of-zelda-collectors-edition
632694,Metal Gear Solid HD Collection,113,4.55,3.31,58.89,/ps3/632694-metal-gear-solid-hd-collection
926596,Metal Gear Solid 4: Guns of the Patriots,113,4.55,3.22,30.72,/ps3/926596-metal-gear-solid-4-guns-of-the-patriots
960564,Xenoblade Chronicles,114,4.54,3.15,80.00+,/wii/960564-xenoblade-chronicles
554041,Final Fantasy III,63,4.54,3.03,54.87,/snes/554041-final-fantasy-iii
535840,Resident Evil 4,99,4.54,3.24,29.35,/gamecube/535840-resident-evil-4
564226,The Legend of Zelda: Ocarina of Time / Master Quest,99,4.54,3.29,42.13,/gamecube/564226-the-legend-of-zelda-ocarina-of-time-master-quest
997842,The Legend of Zelda: Ocarina of Time 3D,116,4.54,3.09,35.83,/3ds/997842-the-legend-of-zelda-ocarina-of-time-3d
835628,Persona 5,120,4.54,3.06,80.00+,/ps4/835628-persona-5
519824,Super Mario World,63,4.54,3.06,25.82,/snes/519824-super-mario-world
197909,Metal Gear Solid,78,4.54,3.28,22.01,/ps/197909-metal-gear-solid
914828,Metal Gear Solid 3: Snake Eater,94,4.54,3.27,29.46,/ps2/914828-metal-gear-solid-3-snake-eater
198844,Suikoden II,78,4.54,2.95,56.19,/ps/198844-suikoden-ii
525245,Super Mario Bros. 3,41,4.54,3.26,18.29,/nes/525245-super-mario-bros-3
945498,Shin Megami Tensei: Persona 4,94,4.54,3.26,75.91,/ps2/945498-shin-megami-tensei-persona-4
920979,Super Mario All-Stars / Super Mario World,63,4.53,3.15,42.47,/snes/920979-super-mario-all-stars-super-mario-world
