id_zanra,zanr1,zanr2,zanr3,zanr4
289,Action,Arcade,,
318,Action,Beat-'Em-Up,,
160,Action,Beat-'Em-Up,2D,
216,Action,Beat-'Em-Up,3D,
57,Action,Fighting,,
86,Action,Fighting,2D,
87,Action,Fighting,3D,
250,Action,General,,
114,Action,Pinball,,
56,Action,Platformer,,
84,Action,Platformer,2D,
85,Action,Platformer,3D,
63,Action,Rhythm,,
158,Action,Rhythm,Dancing,
159,Action,Rhythm,Music,
55,Action,Shooter,,
79,Action,Shooter,First-Person,
152,Action,Shooter,First-Person,Arcade
156,Action,Shooter,First-Person,Tactical
239,Action,Shooter,Light Gun,
81,Action,Shooter,Rail,
313,Action,Shooter,Shoot-'Em-Up,
185,Action,Shooter,Shoot-'Em-Up,Horizontal
272,Action,Shooter,Shoot-'Em-Up,Top-Down
83,Action,Shooter,Shoot-'Em-Up,Vertical
80,Action,Shooter,Third-Person,
182,Action,Shooter,Third-Person,Arcade
187,Action,Shooter,Third-Person,Tactical
290,Action Adventure,General,,
293,Action Adventure,Linear,,
292,Action Adventure,Open-World,,
291,Action Adventure,Sandbox,,
164,Action Adventure,Survival,,
77,Adventure,3D,,
190,Adventure,3D,First-Person,
192,Adventure,3D,Third-Person,
251,Adventure,General,,
295,Adventure,Point-and-Click,,
262,Adventure,Text,,
294,Adventure,Visual Novel,,
277,Miscellaneous,Application,,
227,Miscellaneous,Board / Card Game,,
233,Miscellaneous,Compilation,,
280,Miscellaneous,Demo Disc,,
275,Miscellaneous,Edutainment,,
287,Miscellaneous,Exercise / Fitness,,
113,Miscellaneous,Gambling,,
256,Miscellaneous,General,,
181,Miscellaneous,Party / Minigame,,
224,Miscellaneous,Trivia / Game Show,,
282,Puzzle,Action,,
281,Puzzle,General,,
286,Puzzle,Hidden Object,,
285,Puzzle,Logic,,
283,Puzzle,Matching,,
284,Puzzle,Stacking,,
314,Racing,Arcade,,
232,Racing,Arcade,Automobile,
139,Racing,Arcade,Futuristic,
235,Racing,Arcade,Other,
252,Racing,General,,
315,Racing,Simulation,,
138,Racing,Simulation,Automobile,
274,Racing,Simulation,Other,
73,Role-Playing,Action RPG,,
257,Role-Playing,General,,
71,Role-Playing,Japanese-Style,,
75,Role-Playing,Massively Multiplayer,,
296,Role-Playing,Roguelike,,
297,Role-Playing,Trainer,,
72,Role-Playing,Western-Style,,
68,Simulation,Flight,,
157,Simulation,Flight,Civilian,
130,Simulation,Flight,Combat,
255,Simulation,General,,
317,Simulation,Marine,,
126,Simulation,Marine,Civilian,
125,Simulation,Marine,Combat,
69,Simulation,Space,,
133,Simulation,Space,Civilian,
132,Simulation,Space,Combat,
316,Simulation,Vehicle,,
298,Simulation,Vehicle,Civilian,
124,Simulation,Vehicle,Combat,
259,Simulation,Vehicle,Train,
311,Simulation,Virtual,,
300,Simulation,Virtual,Career,
299,Simulation,Virtual,Pet,
242,Simulation,Virtual,Virtual Life,
254,Sports,General,,
92,Sports,Individual,,
231,Sports,Individual,Athletics,
103,Sports,Individual,Biking,
112,Sports,Individual,Billiards,
243,Sports,Individual,Bowling,
312,Sports,Individual,Combat,
104,Sports,Individual,Combat,Boxing / Martial Arts
93,Sports,Individual,Combat,Wrestling
98,Sports,Individual,Golf,
206,Sports,Individual,Golf,Arcade
207,Sports,Individual,Golf,Sim
278,Sports,Individual,Horse Racing,
108,Sports,Individual,Nature,
109,Sports,Individual,Nature,Fishing
110,Sports,Individual,Nature,Hunting
246,Sports,Individual,Other,
102,Sports,Individual,Skate / Skateboard,
273,Sports,Individual,Ski / Snowboard,
238,Sports,Individual,Surf / Wakeboard,
101,Sports,Individual,Tennis,
91,Sports,Team,,
94,Sports,Team,Baseball,
200,Sports,Team,Baseball,Arcade
201,Sports,Team,Baseball,Sim
95,Sports,Team,Basketball,
202,Sports,Team,Basketball,Arcade
203,Sports,Team,Basketball,Sim
258,Sports,Team,Cricket,
97,Sports,Team,Football,
204,Sports,Team,Football,Arcade
205,Sports,Team,Football,Sim
107,Sports,Team,Futuristic,
99,Sports,Team,Ice Hockey,
208,Sports,Team,Ice Hockey,Arcade
209,Sports,Team,Ice Hockey,Sim
310,Sports,Team,Other,
244,Sports,Team,Rugby,
100,Sports,Team,Soccer,
210,Sports,Team,Soccer,Arcade
212,Sports,Team,Soccer,Management
211,Sports,Team,Soccer,Sim
105,Sports,Team,Volleyball,
253,Strategy,General,,
60,Strategy,Management,,
220,Strategy,Management,Business / Tycoon,
123,Strategy,Management,Government,
58,Strategy,Real-Time,,
302,Strategy,Real-Time,Command,
303,Strategy,Real-Time,Defense,
301,Strategy,Real-Time,General,
288,Strategy,Real-Time,MOBA,
304,Strategy,Real-Time,Tactics,
59,Strategy,Turn-Based,,
306,Strategy,Turn-Based,4X,
307,Strategy,Turn-Based,Artillery,
240,Strategy,Turn-Based,Card Battle,
305,Strategy,Turn-Based,General,
308,Strategy,Turn-Based,Tactics,
